"model","horizon","tau","mean_score","rw_score","relative_to_rw"
"BVAR",1,0.05,0.0207667247342507,0.078860603868727,0.263334589332076
"BVAR",1,0.1,0.0352676009231141,0.0786411036624839,0.44846269038234
"BVAR",1,0.25,0.0610434858478443,0.0779826030437547,0.782783383283499
"BVAR",1,0.5,0.0851539285685838,0.0768851020125392,1.10754783878281
"BVAR",1,0.75,0.0771101244308691,0.0757876009813237,1.01745039336806
"BVAR",1,0.9,0.0496610457390804,0.0751291003625945,0.661009455715588
"BVAR",1,0.95,0.0334496850891786,0.0749096001563514,0.446534022600073
"BVAR",3,0.05,0.0285891544655648,0.145057366035875,0.197088608781813
"BVAR",3,0.1,0.0502913380440465,0.14434997662024,0.348398657357281
"BVAR",3,0.25,0.10451987118238,0.142227808373335,0.734876480048294
"BVAR",3,0.5,0.148883876155592,0.13869086129516,1.07349449534919
"BVAR",3,0.75,0.12744926800055,0.135153914216985,0.942993539912834
"BVAR",3,0.9,0.0818553964508849,0.13303174597008,0.6153072400425
"BVAR",3,0.95,0.0538852379774647,0.132324356554445,0.407220857751109
"BVAR",6,0.05,0.041290274503492,0.198962131420567,0.207528308068899
"BVAR",6,0.1,0.0713848903900487,0.197489505727338,0.361461689456074
"BVAR",6,0.25,0.133838607946248,0.193071628647652,0.693207017953412
"BVAR",6,0.5,0.182472715397569,0.185708500181509,0.982576000663524
"BVAR",6,0.75,0.165380466894674,0.178345371715366,0.927304506441668
"BVAR",6,0.9,0.111683126044124,0.173927494635681,0.642124617951073
"BVAR",6,0.95,0.0757531615026228,0.172454868942452,0.439263686593282
"BVAR",9,0.05,0.0418044858597778,0.245680554873164,0.170157894186457
"BVAR",9,0.1,0.0742891068249354,0.242728349426095,0.306058633038061
"BVAR",9,0.25,0.147929331349459,0.233871733084888,0.63252334687136
"BVAR",9,0.5,0.216649345660495,0.219110705849543,0.988766590936285
"BVAR",9,0.75,0.197821821631407,0.204349678614198,0.968055457551683
"BVAR",9,0.9,0.14637052084219,0.195493062272991,0.748724886399269
"BVAR",9,0.95,0.108837975350465,0.192540856825922,0.565272104553197
"BVAR",12,0.05,0.0388003341641806,0.275178718805547,0.141000489909245
"BVAR",12,0.1,0.0695196730652121,0.271215388535841,0.256326432804992
"BVAR",12,0.25,0.15296568458799,0.259325397726722,0.589860021150671
"BVAR",12,0.5,0.237637426860014,0.23950874637819,0.992186842666611
"BVAR",12,0.75,0.235469386233837,0.219692095029658,1.07181547065701
"BVAR",12,0.9,0.186437812376494,0.207802104220538,0.897189242023409
"BVAR",12,0.95,0.151376690430945,0.203838773950832,0.742629517912321
"RW",1,0.05,0.078860603868727,0.078860603868727,1
"RW",1,0.1,0.0786411036624839,0.0786411036624839,1
"RW",1,0.25,0.0779826030437547,0.0779826030437547,1
"RW",1,0.5,0.0768851020125392,0.0768851020125392,1
