"model","horizon","ds","rw_ds","relative_to_rw"
"BVAR",1,54.2682926829268,54.2682926829268,1
"BVAR",3,51.8292682926829,48.1707317073171,1.07594936708861
"BVAR",6,58.5365853658537,58.5365853658537,1
"BVAR",9,51.8292682926829,50.609756097561,1.02409638554217
"BVAR",12,53.6585365853659,47.5609756097561,1.12820512820513
"RW",1,54.2682926829268,54.2682926829268,1
"RW",3,48.1707317073171,48.1707317073171,1
"RW",6,58.5365853658537,58.5365853658537,1
"RW",9,50.609756097561,50.609756097561,1
"RW",12,47.5609756097561,47.5609756097561,1
"mixBART",1,57.3170731707317,54.2682926829268,1.0561797752809
"mixBART",3,53.6585365853659,48.1707317073171,1.11392405063291
"mixBART",6,53.0487804878049,58.5365853658537,0.90625
"mixBART",9,48.780487804878,50.609756097561,0.963855421686747
"mixBART",12,48.1707317073171,47.5609756097561,1.01282051282051
