"cycle","horizon","model","actual","forecast"
1,1,"BVAR",1.57409908441456,1.75058059849129
1,1,"mixBART",1.57409908441456,1.62253236995403
1,1,"RW",1.57409908441456,1.77852663109613
1,3,"BVAR",1.38515062934018,1.75533094021087
1,3,"mixBART",1.38515062934018,1.82048492586221
1,3,"RW",1.38515062934018,1.77852663109613
1,6,"BVAR",2.46150165403709,1.7575302437257
1,6,"mixBART",2.46150165403709,2.67212257844016
1,6,"RW",2.46150165403709,1.77852663109613
1,9,"BVAR",1.97374777435784,1.73791884086072
1,9,"mixBART",1.97374777435784,2.73182936126426
1,9,"RW",1.97374777435784,1.77852663109613
1,12,"BVAR",2.20995492612765,1.74141185654326
1,12,"mixBART",2.20995492612765,2.54573847462469
1,12,"RW",2.20995492612765,1.77852663109613
2,1,"BVAR",1.45744853674952,1.54279457522401
2,1,"mixBART",1.45744853674952,1.61665510862385
2,1,"RW",1.45744853674952,1.57026713124274
2,3,"BVAR",1.85211700206458,1.5526489549766
2,3,"mixBART",1.85211700206458,1.89618755688725
2,3,"RW",1.85211700206458,1.57026713124274
2,6,"BVAR",2.68060766571029,1.53478593534089
2,6,"mixBART",2.68060766571029,2.5201959599063
2,6,"RW",2.68060766571029,1.57026713124274
2,9,"BVAR",1.85370027092542,1.54386051448198
2,9,"mixBART",1.85370027092542,2.6100908507015
2,9,"RW",1.85370027092542,1.57026713124274
2,12,"BVAR",2.12770846258128,1.5549776983242
2,12,"mixBART",2.12770846258128,2.40392807514549
2,12,"RW",2.12770846258128,1.57026713124274
3,1,"BVAR",1.38515062934018,1.43098330270302
3,1,"mixBART",1.38515062934018,1.5095340406692
3,1,"RW",1.38515062934018,1.45870110563969
3,3,"BVAR",1.68481913512618,1.45861952609729
3,3,"mixBART",1.68481913512618,1.95454311638258
3,3,"RW",1.68481913512618,1.45870110563969
3,6,"BVAR",2.44844233964313,1.44587168056615
3,6,"mixBART",2.44844233964313,2.26683256995423
3,6,"RW",2.44844233964313,1.45870110563969
3,9,"BVAR",1.90528786414469,1.48828519076532
3,9,"mixBART",1.90528786414469,2.15291228817173
3,9,"RW",1.90528786414469,1.45870110563969
3,12,"BVAR",1.98235156454344,1.52003909504956
3,12,"mixBART",1.98235156454344,1.89975953010259
3,12,"RW",1.98235156454344,1.45870110563969
4,1,"BVAR",1.85211700206458,1.39014372445772
4,1,"mixBART",1.85211700206458,1.68628229193218
4,1,"RW",1.85211700206458,1.382850800111
4,3,"BVAR",2.46150165403709,1.46598504871242
4,3,"mixBART",2.46150165403709,2.24306308652114
4,3,"RW",2.46150165403709,1.382850800111
4,6,"BVAR",1.97374777435784,1.40293520379139
4,6,"mixBART",1.97374777435784,2.15708642678157
4,6,"RW",1.97374777435784,1.382850800111
4,9,"BVAR",2.20995492612765,1.44539855301934
4,9,"mixBART",2.20995492612765,1.91198380308942
4,9,"RW",2.20995492612765,1.382850800111
4,12,"BVAR",1.78215553773909,1.50850659025864
4,12,"mixBART",1.78215553773909,1.62149079899953
4,12,"RW",1.78215553773909,1.382850800111
5,1,"BVAR",1.68481913512618,1.96211145161953
5,1,"mixBART",1.68481913512618,2.07189833277379
5,1,"RW",1.68481913512618,1.85142435015467
5,3,"BVAR",2.68060766571029,1.80441033051636
5,3,"mixBART",2.68060766571029,2.44975745135331
5,3,"RW",2.68060766571029,1.85142435015467
5,6,"BVAR",1.85370027092542,1.83486384275788
5,6,"mixBART",1.85370027092542,2.25998535854019
5,6,"RW",1.85370027092542,1.85142435015467
5,9,"BVAR",2.12770846258128,1.86376131547404
5,9,"mixBART",2.12770846258128,1.96213719867484
5,9,"RW",2.12770846258128,1.85142435015467
5,12,"BVAR",1.56595977811765,1.8989402589121
5,12,"mixBART",1.56595977811765,1.96243849664252
5,12,"RW",1.56595977811765,1.85142435015467
6,1,"BVAR",2.46150165403709,1.61725799368777
